director,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,movies
Terence Davies,6.300000000000001,6.187897703111955,6.205294925494345,2
Breck Eisner,6.25,6.330695231903963,6.141288249742789,2
Bertrand Bonello,6.45,6.07161403460449,6.246093728594757,2
Ben Young,6.15,6.092129003157419,6.035494275116917,2
Tod Williams,4.949999999999999,5.367344011475018,5.007399723667751,2
Tobias Lindholm,7.15,6.628833873601599,6.888433450649469,2
Timur Bekmambetov,5.800000000000001,5.866509557346735,5.701958531891047,2
Bennett Miller,7.3,7.406643429188863,7.2345084687664105,2
Timo Vuorensola,5.45,5.713786612096438,5.516200570671882,2
Timo Tjahjanto,6.65,6.584133468025346,6.409773334612003,2
Tim Miller,7.1,7.175882674678622,6.992229279051159,2
Bharat Nalluri,6.6,6.507065700162064,6.3726363445223715,2
Terry Gilliam,6.25,6.177136287226924,6.108956113983213,2
Til Schweiger,6.449999999999999,5.95838260273673,6.255481631038549,2
Bille Woodruff,5.25,5.449463397987354,5.201084624697441,2
Thor Freudenthal,6.0,5.988920895191669,5.889492487128297,2
Björn Stein,6.25,6.226650240314893,6.136243801840708,2
Boaz Yakin,6.6,6.49595417617582,6.406149545822121,2
Theodore Melfi,7.5,7.524316036987092,7.420431537513753,2
Sanjay Gupta,6.5,6.326154046431835,6.173494227291696,2
Brady Corbet,6.0,5.9884665405051525,5.891614864694,2
Can Ulkay,8.15,6.318602230707794,7.774492305021877,2
Caradog W. James,5.6,5.861595680270848,5.546035534980416,2
Carles Torrens,5.4,5.6137222051861215,5.322042754749399,2
Claire Denis,5.9,5.981376037959668,5.821192251555649,2
Christian Petzold,7.199999999999999,6.9003933334193075,6.991141125556103,2
Stephen Merchant,7.0,6.775344017338586,6.8867100107228225,2
Stephen Gaghan,6.15,5.910773954259717,6.088671055114054,2
Stephen Daldry,7.050000000000001,6.588814335413566,6.93057756163522,2
Stephen Chow,6.5,6.366152567658806,6.2778461592340555,2
Stephen Chbosky,8.0,7.860566225324671,7.874266173869228,2
Christopher Smith,6.300000000000001,6.229656322950349,6.169937331660193,2
Ciro Guerra,7.7,6.925242736711799,7.404944229608721,2
Stefano Sollima,7.25,6.760116062335467,7.107771809612437,2
Chris Weitz,6.9,6.751066567611069,6.696600150533293,2
Clay Kaytis,6.699999999999999,6.508927087193213,6.507058573856414,2
Cody Cameron,5.75,5.794556521711893,5.78527696075337,2
Conrad Vernon,5.949999999999999,5.995770597191676,5.946352867375669,2
Corin Hardy,5.5,5.669213034122349,5.412075719608323,2
Cory Finley,6.9,6.882589161025956,6.708716040962477,2
Craig Brewer,6.6,6.470129794373992,6.414512160499669,2
Crispian Mills,5.55,5.772970978848992,5.539377565742965,2
Cristian Mungiu,7.4,6.637267381363465,7.192506077597592,2
Christian Ditter,6.65,6.427756508499405,6.482411045971411,2
Chris Wedge,6.15,6.109307741155829,6.097397048483181,2
Susanna Fogel,6.1,6.110158163641708,5.955260396654584,2
Charles Stone III,5.75,5.8538542914588,5.623998168606283,2
Susan Johnson,6.85,6.776255147999237,6.6732632985968845,2
Sujoy Ghosh,7.949999999999999,7.16320586550982,7.620443605252703,2
Cary Joji Fukunaga,7.5,7.44844839946737,7.45112977116591,2
Casey Affleck,6.4,6.1879747564029355,6.2962644125489,2
Cate Shortland,6.699999999999999,6.37838835192974,6.555114202136293,2
Subhash Kapoor,7.35,6.648367585294082,6.9573647954199895,2
Chan-wook Park,7.449999999999999,7.363153869859952,7.367116542128823,2
Chang-dong Lee,7.65,7.255333676778752,7.3695747632174164,2
Charlie Bean,6.15,6.083772362454125,6.0387001401405875,2
Steve Barker,5.15,5.650279113948988,5.1969779510937055,2
Charlie McDowell,6.699999999999999,6.673312313116353,6.496047205241676,2
Stuart Beattie,5.65,5.730272093085356,5.548823450607999,2
Chris Buck,7.15,7.161043755802613,7.082605074804405,2
Chris Butler,6.85,6.813655180199596,6.688486276494867,2
Chris Columbus,5.7,5.7606706117099975,5.6511839360533385,2
Steven R. Monroe,6.0,6.004872576317956,5.897296695188022,2
Chris Nelson,5.75,5.876838432635534,5.660084711577248,2
Steve Martino,6.85,6.663601935268027,6.710783643602055,2
Ben Stiller,6.0,6.08947028646475,6.011204987980182,2
Ben Lewin,6.95,6.819703222642396,6.781750388484031,2
Damien Leone,5.3,5.660990172141407,5.310262645613053,2
Bejoy Nambiar,7.15,6.265796849709842,6.823968858358919,2
Wim Wenders,5.4,5.628759399624315,5.507543017206883,2
William Kaufman,5.75,5.89325324087501,5.679019420311534,2
William H. Macy,6.1,6.103358501532574,6.035635424105621,2
Will Speck,5.949999999999999,6.039752314065535,5.8468816265435954,2
Alex Garland,7.25,7.46497984937457,7.24030158110253,2
Whit Stillman,6.050000000000001,6.215789473684211,5.973702664796633,2
Wes Craven,5.449999999999999,5.724164295728065,5.397434080385917,2
Alex Kendrick,6.75,6.817626909830787,5.868374871380906,2
Alex Kurtzman,6.25,6.1394948208617866,6.172309240093492,2
Alex Lehmann,7.25,6.781443852372826,6.909518661445433,2
Alex Ross Perry,6.3,6.185911893417032,6.071337200654471,2
Alexandre Bustillo,5.35,5.652704635534556,5.302333689117795,2
Alexandros Avranas,5.949999999999999,5.527061842710354,5.882167198898884,2
Alfonso Cuarón,7.7,7.729237372313617,7.630647564381407,2
Walt Dohrn,6.3,6.244064997542042,6.113258404871586,2
Víctor García,3.95,4.814492553888436,4.3171245439134704,2
Alistair Legrand,4.9,5.506382179733873,5.029544789385602,2
Allen Hughes,6.550000000000001,6.484243846104848,6.391624414886447,2
Alper Caglar,8.3,6.2852939679434545,7.96729553672989,2
Albert Hughes,6.800000000000001,6.818113343847212,6.627975861965583,2
Alan Taylor,6.6,6.635563007197308,6.544993186819493,2
Yann Demange,6.800000000000001,6.640263044718905,6.690627409962053,2
Abhishek Varman,5.2,5.66692205536827,5.457766464565911,2
Çagan Irmak,7.75,6.1131832081808675,7.2850439974775885,2
Abbas Alibhai Burmawalla,5.5,5.71825869454068,5.461452454927821,2
Abbas Kiarostami,7.15,6.866484581975184,6.903189268061592,2
Àlex Pastor,6.199999999999999,5.945041027649724,6.155671109877784,2
Abhinav Kashyap,4.9,5.723410176895168,5.250317759748386,2
Abhinay Deo,7.35,6.582186412886804,6.990677133356646,2
Abhishek Kapoor,7.15,6.463806789393683,6.804109213718673,2
Abhishek Sharma,7.4,6.600488075839515,7.010169134269748,2
Adam Green,5.8,6.0057560638528775,5.683615218788885,2
Yarrow Cheney,6.4,6.3194840969674555,6.32809476429232,2
Adam Randall,6.4,6.277127116966161,6.2359650227635335,2
Zal Batmanglij,6.699999999999999,6.703633072846472,6.594885331093952,2
Adam Shankman,5.550000000000001,5.613291114946937,5.534850066208934,2
Zach Lipovsky,5.95,6.153756232258235,5.867483017765769,2
Adrian Grunberg,6.55,6.543170994527687,6.435409348741439,2
Zach Braff,6.65,6.5468752346409715,6.5631925350531874,2
Aki Kaurismäki,7.2,6.596706784626874,7.044901870772434,2
Akiva Schaffer,6.2,6.215404490080248,6.080318497204662,2
Vincenzo Natali,5.65,5.809354929722268,5.602562793952467,2
Amar Kaushik,7.5,6.6958765812933185,7.032837399353834,2
Amma Asante,7.05,6.884820367474741,6.867922605860469,2
Ashwiny Iyer Tiwari,7.95,6.6398919634332705,7.255441924169615,2
Anthony Scott Burns,5.199999999999999,5.563428147775383,5.234766036073772,2
Anton Corbijn,6.55,6.4947552668129696,6.481712722375835,2
Ari Aster,7.199999999999999,7.298809478072055,7.0316033662587865,2
Armando Iannucci,6.800000000000001,6.541490577638677,6.702219147447627,2
Tomas Alfredson,6.05,5.9605756648214925,6.102658796927068,2
Tom Tykwer,6.75,6.6616140086927444,6.7353048079168545,2
Tom Six,3.25,3.8608043480840664,3.5524995898231104,2
Ashwani Dhir,5.2,5.681571090337639,5.226148201525323,2
Ava DuVernay,5.85,6.021688242669438,5.746249012956435,2
Anthony D'Souza,5.449999999999999,5.675625850352649,5.331527386846195,2
Babak Anvari,5.45,5.840991289691996,5.560496561431921,2
Babak Najafi,5.4,5.7296583011685245,5.369968008531059,2
Tolga Karaçelik,7.75,6.159387243357631,7.348565502648542,2
Barry Cook,6.15,6.134682959313011,6.11711437500591,2
Barry Jenkins,7.25,7.521545242817154,7.104933447904521,2
Barry Sonnenfeld,6.05,6.037741881687016,6.017487418571955,2
Todd Solondz,5.9,5.960489499522738,5.856203580612078,2
Todd Robinson,6.300000000000001,6.253079841696847,5.97197887139837,2
Travis Knight,7.3,7.310059262375855,7.120760563705527,2
Anouk Whissell,6.7,6.666856763851868,6.490493576516474,2
Vince Marcello,5.95,5.957719363931098,5.836460910365062,2
Veronika Franz,6.35,6.365567547872659,6.266096363679815,2
Vikram K. Kumar,7.9,6.440025933673407,7.0847479222420215,2
Ana Lily Amirpour,6.15,6.170779719394853,6.077797749644385,2
Anand Gandhi,8.15,6.7579668351403495,7.624706626532304,2
Andrea Arnold,6.5,6.425963466675807,6.394134383533885,2
Vijay Krishna Acharya,4.7,5.163753486064298,4.902106548524172,2
Andrea Di Stefano,6.55,6.186966270524864,6.422536341314904,2
Victor Levin,6.55,6.405739141586868,6.376129620955556,2
Andrew Bujalski,5.9,6.064081493028862,5.758556877601714,2
Vamshi Paidipally,6.449999999999999,6.043664423300069,5.906900593880419,2
Trey Edward Shults,6.9,6.786971134351047,6.606286567389256,2
Valerie Faris,6.95,6.849414467625989,6.8644561744486285,2
Andrew Stanton,6.949999999999999,6.967424419558499,6.838281930761363,2
Umesh Shukla,7.75,6.743977980879505,7.331250312953783,2
Uli Edel,4.05,5.398638895913546,4.208764428634936,2
Andy Serkis,6.8,6.531989659090387,6.657656959176376,2
Tyler Spindel,5.45,5.710172603745868,5.375480328710926,2
Tyler Gillett,5.449999999999999,5.775486492844989,5.446882500590629,2
Trish Sie,5.9,5.784127415565788,5.746591451360011,2
Cédric Jimenez,6.75,6.167472676427706,6.605814781680474,2
Fernando León de Aranoa,6.55,6.165052690003391,6.473913083771686,2
Scott Hicks,5.95,6.0733957744407885,5.786605736855411,2
Sebastian Gutierrez,5.449999999999999,5.69445221022193,5.419972011195521,2
Dennis Iliadis,5.6,5.870032051282052,5.511657122912093,2
Seong-hun Kim,7.050000000000001,6.455487702525636,6.762726701135277,2
Serdar Akar,7.55,6.006993936815233,7.0306384028291244,2
Shinji Higuchi,5.9,6.182671419999914,5.7631946191429755,2
Dan Mazer,5.800000000000001,5.778705051272099,5.748942537487046,2
Sheng Ding,6.5,6.227198895538965,6.3620701126109385,2
Daniel Calparsoro,6.1,5.910182441914861,6.004264372014672,2
David Pastor,6.199999999999999,5.945041027649724,6.155671109877784,2
David Bruckner,6.05,6.217907176459853,5.942069282745932,2
Daniel Stamm,5.949999999999999,6.060853744895117,5.8393677531687755,2
Dennis Gansel,5.95,5.957000572463127,5.857229202696061,2
Seth Rogen,6.55,6.782701716462034,6.34534510369541,2
Dean Parisot,6.5,6.6041047358426,6.208472205701458,2
Shin-yeon Won,7.0,6.334180606739222,6.60527110556735,2
Dan Scanlon,7.35,7.325467420004178,7.21386030048323,2
Dax Shepard,6.05,6.033568760175532,5.9826816065941575,2
Shinsuke Sato,6.6,6.204345521694085,6.266791943139014,2
Sharat Katariya,7.15,6.410271126484071,6.785006285349535,2
Dean Israelite,6.15,6.2657412460230475,5.991624089119692,2
Shawn Christensen,7.050000000000001,6.581447364592604,6.735179392286041,2
Daniel Alfredson,5.699999999999999,5.775788675425862,5.6390463218944165,2
Sean McNamara,7.15,6.834466663593105,6.88479713008249,2
Dean Devlin,5.85,5.720974523535517,5.81475335027078,2
Shari Springer Berman,5.85,5.860824853864473,5.73527679623086,2
Sean Ellis,7.4,6.818978416216776,7.148764049824894,2
Dave Green,5.9,5.820785699438787,5.79719895801238,2
Dong-hoon Choi,7.05,6.402685411229902,6.661020616711239,2
Severin Fiala,6.35,6.365567547872659,6.266096363679815,2
Scott Mann,5.9,5.937411883182276,5.845253418047545,2
Shakun Batra,6.7,6.293958855146226,6.5819501829772165,2
David Wnendt,6.449999999999999,6.4558065016343855,6.320525552079083,2
Don Hall,7.5,7.459650851451215,7.279693385032486,2
David Soren,6.300000000000001,6.2371182257833215,6.175463814914149,2
Shana Feste,6.3,6.026042165788214,6.151154491397769,2
Sebastián Borensztein,7.3,6.251078079191307,6.997039515533745,2
Don Mancini,5.4,5.829092581103773,5.206781932496684,2
David Robert Mitchell,6.65,6.775846134142397,6.519574731673643,2
Dennis Widmyer,5.85,5.969689096735083,5.740106929858918,2
Dan Fogelman,6.9,6.550085986008611,6.732520289919002,2
Dania Pasquini,5.800000000000001,5.785943072942164,5.660585997875632,2
Debra Granik,7.2,7.282081460517042,7.059533385015676,2
Sarik Andreasyan,4.45,5.324934829148228,4.551008482105994,2
Dany Boon,6.2,5.937768896087503,6.091414371491043,2
Sebastián Silva,5.4,5.621493902439025,5.449121814832733,2
Natalie Erika James,5.9,6.012739965095985,5.860929869115061,1
Venkat Prabhu,7.6,6.105998588567396,6.973002248109544,1
Velraj,7.8,6.190381426202322,6.850883519653804,1
Victor Danell,6.2,5.923165340406721,6.084686346863469,1
Ryan Murphy,5.8,5.533638886552855,5.7,1
Navot Papushado,6.8,6.5542185338865835,6.690263367916999,1
Navdeep Singh,7.2,6.268686868686869,6.857281553398058,1
Nalan Kumarasamy,8.3,6.531468531468532,7.570910920986411,1
Nana Ekvtimishvili,7.6,6.197665937272065,6.856418075963404,1
Vasan Bala,7.4,6.234199134199135,6.64158480681074,1
Vaughn Stein,5.4,5.496979645436638,5.34296455424275,1
Nancy Meyers,7.1,7.04269888262821,6.986317085749771,1
Ryuichi Yagi,7.4,6.1027732463295274,6.746142208774584,1
Nanette Burstein,6.3,6.352203422234968,6.281523680482848,1
Nate Parker,6.4,6.234885235227088,6.309735654416506,1
Naji Abu Nowar,7.2,6.571373307543521,6.947048903878584,1
Vicky Jewson,5.7,5.9,5.609933445912387,1
Vicente Villanueva,6.8,6.149240780911063,6.555762296264244,1
Nattawut Poonpiriya,7.6,6.782511210762332,7.277997039960533,1
Natalia Leite,6.0,5.942062572421785,5.7,1
Naomi Foner,6.0,5.9,5.875219923181762,1
Ryan Whitaker,5.5,5.7862812769628995,5.427754710954966,1
Naomi Kawase,7.4,6.4596879063719115,7.034616022557638,1
Nathan Greno,7.7,7.7663538161855845,7.688176384693148,1
Vic Armstrong,3.1,3.620954162768943,3.1716574480259396,1
Nash Edgerton,6.1,6.055614735907678,6.068575693298767,1
Naoko Yamada,8.2,7.593204330799355,7.846215565659268,1
Rob Meltzer,4.9,5.502375809935206,4.916144018583043,1
Nahnatchka Khan,6.8,6.876598608929774,6.543174643263038,1
Nagraj Manjule,8.3,6.760170523751523,7.5303346783764535,1
Vince Gilligan,7.3,7.5048152295632695,7.177319462924882,1
Morgan O'Neill,5.8,5.8291630212890055,5.7,1
Sabir Khan,5.3,5.7206361520558575,5.424185035703197,1
Morgan Matthews,7.1,6.643782383419689,7.007001461405606,1
Mora Stephens,5.7,5.79433962264151,5.699999999999999,1
Monika Mitchell,5.5,5.78587376556462,5.451885160843998,1
Vincent D'Onofrio,5.9,5.956989247311829,5.769614099058037,1
Vincent Kesteloot,5.4,5.647945205479452,5.407066381156317,1
Vincent Paronnaud,7.0,6.258498896247241,6.805999104611252,1
Vincent Patar,7.9,7.240518256772674,7.603994773193952,1
Vincent Perez,6.5,6.238616417139907,6.257954545454545,1
Scott Z. Burns,7.2,6.97116704805492,7.083268482490273,1
Miranda July,6.2,6.16919555264879,6.104906808672499,1
Vinil Mathew,6.8,6.102558001189768,6.621948850760764,1
Mimi Maynard,6.1,5.864516129032259,6.021537857983523,1
Mimi Leder,7.0,6.788461538461539,6.768392191270015,1
Vipul Amrutlal Shah,4.2,5.458327165062917,4.483916880159408,1
Milos Avramovic,8.1,6.385995457986374,7.43888073779082,1
Milorad Krstic,7.5,6.266091954022989,6.954039874081848,1
Vinay Sapru,7.3,6.38236092265943,6.556554092730395,1
Vikramjit Singh,3.3,5.4311475409836065,4.20041388092964,1
Mrighdeep Lamba,6.9,6.132710280373832,6.592648444863336,1
Vijay Lalwani,7.0,6.318604651162792,6.787234042553191,1
Nag Ashwin,8.5,7.049107142857142,7.428395061728395,1
Victor Salva,3.9,4.595348837209302,4.061888352860096,1
Vidhu Vinod Chopra,3.7,5.264220183486239,4.867259786476868,1
Ryûhei Kitamura,6.0,6.123992906004561,5.790675990675991,1
Régis Roinsard,6.9,6.620388349514563,6.65719849409321,1
Nabwana I.G.G.,8.2,6.717221873035827,6.717970170971261,1
Sean Durkin,6.9,6.995269680572526,6.758674581110527,1
Neasa Hardiman,5.7,5.9457111834962,5.625700334104343,1
Måns Herngren,6.3,5.965217391304348,6.148254931714719,1
S.P. Rajkumar,2.5,5.260380479735319,3.4477718360071306,1
Myroslav Slaboshpytskyi,7.0,6.439594843462247,6.8066051770306455,1
Murat Seker,5.6,5.868663594470046,5.623234200743494,1
Vijay Ratnakar Gutte,6.0,6.019495091164096,5.57595898214964,1
Mukunda Michael Dewil,4.9,5.275375375375376,4.9085776330076,1
Vikram Gandhi,5.8,5.675824175824176,5.909338168631006,1
Mukesh Chhabra,8.8,8.243825350276962,7.832483612527312,1
Mudassar Aziz,5.8,5.9,5.700000000000001,1
Sean Byrne,6.4,6.446860643185298,6.13443482821925,1
Sean Foley,6.3,6.160994263862333,6.211881333529153,1
Neil LaBute,5.7,5.7195656427313635,5.604097520999795,1
Ryan Gosling,5.7,5.681389039609332,5.700000000000001,1
Trent Cooper,5.8,5.8398406374502,5.782882574460801,1
Tony Mahony,6.3,6.061620977353993,6.16827661909989,1
Nitya Mehra,5.3,5.803260045489007,5.372592336900242,1
Nitin Kakkar,6.7,6.13019943019943,6.25675057208238,1
Tony McNamara,6.4,6.22656954561221,6.2249530956848025,1
Tony Oliver,7.4,6.1027732463295274,6.746142208774584,1
Tony Scott,6.8,6.8674690956408595,6.689517709829244,1
Nisha Ganatra,6.5,6.4932764140875125,6.333924863130074,1
Nir Paniry,6.5,6.350800996796012,6.302953001525025,1
Sebastian Schipper,7.6,7.135119726339795,7.5350094065332645,1
Toshiyuki Tsuru,7.9,6.485245901639344,7.117079568638881,1
Nils Gaup,6.1,6.091167387276097,5.930843706777317,1
Nikolay Lebedev,7.5,6.043478260869565,7.019871965857562,1
Travis Cluff,4.2,4.549794238683128,4.388323917137477,1
Travis Fine,7.5,6.680920421860019,6.928170968637247,1
Sean Mewshaw,6.2,6.108795411089866,6.000842835894893,1
Travis Milloy,6.2,6.136266884977487,6.0884177638919885,1
Travis Oates,4.8,5.34535686876439,5.02605151613955,1
Nigel Cole,7.2,6.687583760346866,6.961482141090333,1
Travis Zariwny,3.7,4.380454699694605,4.1530011325028315,1
Tony Leondis,3.3,3.465392144068902,3.6285872932374774,1
Tony Krantz,5.4,5.800250626566417,5.45606428704915,1
Tony Kaye,7.7,7.297314416012161,7.653093484685023,1
Tony Cervone,5.7,5.753995680345572,5.6200722601364905,1
Tomm Moore,8.1,7.657701711491443,8.002936180538704,1
Tommy Lee Jones,6.6,6.56159169550173,6.545388349514562,1
Rufus Norris,7.3,6.638444924406048,7.030527623997289,1
Tommy O'Haver,6.1,6.032026875699888,5.977413423230156,1
Tomohiko Itô,7.4,6.420248203788374,6.688403819918145,1
Olaf de Fleur Johannesson,4.8,5.26509675063892,4.820573491076799,1
Ola Simonsson,7.2,6.613011542497377,6.884183752119624,1
Tono Errando,7.2,6.523076923076923,6.958531873792659,1
Tony Elliott,6.4,6.291327972179961,6.26596710153148,1
Noah Miller,6.2,6.059878561419898,5.999421674629117,1
Tony Gilroy,6.7,6.680376284740109,6.593272537001047,1
Nzingha Stewart,5.2,5.589178963299282,5.275335241826126,1
Tony Goldwyn,7.2,7.028360179561659,7.141217963790265,1
Nora Twomey,7.7,7.067752035065748,7.491514646096112,1
Tony Jaa,5.0,5.31813361611877,4.999576798605926,1
Nora Fingscheidt,7.8,6.270481927710844,7.394907407407407,1
Noel Clarke,5.8,5.799900099900101,5.787161381435357,1
Noam Murro,6.2,6.189068250555697,6.09684016778709,1
Nicolás López,4.8,5.202755071147442,4.860205062479975,1
Nicole Kassell,6.3,6.1253545658123905,6.167963093483693,1
Neeraj Ghaywan,8.2,7.100642398286938,7.757971166999895,1
Trevor Matthews,5.5,5.789605734767026,5.460679611650486,1
Tyler Nilson,7.6,7.613065722156631,7.403132063287051,1
Tyler Shields,4.7,5.183205890682526,4.670624200199062,1
Nicholas Jarecki,6.6,6.608946050534943,6.568250608530003,1
Nicholas Hytner,6.7,6.4720797720797725,6.536943880053246,1
Nicholas Gyeney,5.7,6.466967666763764,5.17570281124498,1
Tze Chun,5.7,5.9,5.617355085039916,1
Nic Mathieu,6.3,6.320140552627376,6.179824065854249,1
Niall MacCormick,6.4,6.084830554061323,6.143137254901961,1
Ui-seok Jo,7.1,6.3251682368775235,6.778604224058769,1
Neil Nightingale,5.2,5.323370025402202,5.285748585148346,1
Ryan Eslinger,6.2,6.092423456149455,6.02552597281698,1
Scott Walker,6.4,6.341765665036106,6.279850896635099,1
Ulrich Seidl,7.1,6.264675984752224,6.800857843137255,1
Sean Garrity,6.1,6.122064056939502,5.9499582985821515,1
Umur Turagay,6.1,5.942105263157895,5.946094651789149,1
Neil Armfield,7.4,6.687072243346009,6.999078427684784,1
Upendra,8.0,5.929059829059829,6.485759493670886,1
Ursula Meier,7.1,6.385288862418106,6.817171717171717,1
Vakkantham Vamsi,6.8,6.200399733510993,6.1224634261444075,1
Tyler MacIntyre,6.0,6.156115107913669,5.777048427817306,1
Nick Bruno,6.8,6.50473517207713,6.613051039040084,1
Nick Cassavetes,6.0,5.9939228198116075,5.89654009168757,1
Nicolai Fuglsig,6.6,6.701939420353018,6.374506519047273,1
Nicole Garcia,6.7,6.102539208364451,6.3619047619047615,1
Trevor Nunn,6.3,6.075154581225408,6.185474327161671,1
Nicole Conn,6.1,6.0398291510945015,5.836848752762867,1
Russell Crowe,7.0,6.732214765100672,6.96420310606895,1
Trevor Wall,3.4,4.221052631578948,4.226304801670146,1
Trevor White,6.3,6.044800827728919,6.046248462484625,1
Nicolas Bedos,7.4,6.009069585613762,7.077480553974578,1
Tristram Shapeero,5.1,5.5015941404567,5.197572678521028,1
Nick Tomnay,6.8,6.678147847278635,6.621272240592033,1
Nick Hamm,6.4,6.091928527418361,6.175285803367283,1
Troy Nixey,5.6,5.6266382525306335,5.508200418221329,1
Nick Powell,4.6,5.105836575875487,4.761622098148692,1
Nick Park,6.1,5.97017596182523,6.058510527953532,1
Nick Ormerod,5.4,5.499203187250996,5.427178836745788,1
Troy Quane,6.8,6.50473517207713,6.613051039040084,1
Nick Murphy,6.5,6.527849927849927,6.378677388893966,1
Tsuneo Kobayashi,7.6,6.453567110036277,6.9129656507015,1
Nick Love,6.1,5.954812471757794,6.06788954001766,1
Milap Zaveri,5.7,5.934296977660972,5.446950771491551,1
Sajid,5.0,5.534737620103474,5.074306613837245,1
Vishnuvardhan,7.0,5.91714995857498,6.241852210390449,1
Sarah Polley,6.5,6.40673091870045,6.540773887865227,1
Max Joseph,6.2,5.9,6.074198542217635,1
Sam Taylor-Johnson,4.1,4.16663211668024,4.015791478175248,1
Max Barbakow,7.4,7.426459779501837,7.202373543230215,1
Max Adams,4.6,5.36497175141243,4.819912035185926,1
Mauro Borrelli,4.2,5.233528265107212,4.495061728395061,1
Sarah Smith,7.1,6.945995893223819,6.948480164863473,1
Matty Beckerman,4.9,5.422710770471965,4.9228660574994425,1
Matthijs van Heijningen Jr.,6.2,6.28166987443864,6.192081716683823,1
Matthieu Delaporte,7.3,6.283673469387756,7.143566679702777,1
Zachary Donohue,6.0,6.053172559119644,5.867234600262124,1
Max Nichols,6.4,6.330177349532189,6.2806682346876315,1
Matthias Hoene,5.9,5.971363115693013,5.791248796709548,1
Matthew Weiner,5.3,5.538274336283186,5.349425429383418,1
Matthew Warchus,7.8,7.338118214716525,7.630238236422617,1
Zack Whedon,5.7,5.78536064874093,5.700000000000001,1
Zackary Adler,4.9,5.670430107526881,5.037717908082409,1
Sarah Gavron,6.9,6.538056680161944,6.83736298152208,1
Samuel Bayer,5.2,5.137934468206174,5.211117040199218,1
Matthew Parkhill,6.1,6.181058578650015,5.867600842378099,1
Matthew Leutwyler,6.2,6.149498997995992,5.981235154394299,1
Max Mayer,5.8,5.9,5.700000000000001,1
Max Winkler,6.0,5.95929995929996,5.839448985770512,1
Samuel Maoz,7.3,6.436335595311537,6.932606199770379,1
Mehmet Ada Öztekin,8.3,6.931030818278426,7.903439803439802,1
Michael Brandt,5.9,5.981890619340819,5.88806896140309,1
Yasuhiro Takemoto,8.1,6.908234019501625,7.378546338827345,1
Yasushi Kawamura,7.1,6.548782728525493,6.884681636419564,1
Yavuz Turgul,7.4,6.3341404358353515,7.2048751486325795,1
Mia Hansen-Løve,7.0,6.463152757442655,6.7399786638218435,1
Melina Matsoukas,7.1,6.7786720321931595,6.822743386964821,1
Yoav Paz,4.8,5.43208800332088,4.846636771300449,1
Mel Gibson,8.1,8.049134124066494,7.985883681535855,1
Mehmet Kurtulus,7.2,5.968965517241379,6.850593990216632,1
Yoichi Mori,5.8,5.7143646408839786,5.775484187300808,1
Maxim Korostyshevsky,4.3,5.267543859649123,4.48576871785102,1
Yolanda Ramke,6.3,6.365198831723209,6.17093023255814,1
Yong-hwa Kim,7.3,6.46608557844691,6.944984699081944,1
York Alec Shackleton,4.4,5.212830957230143,4.67423148890671,1
Megan Griffiths,6.6,6.420733249051834,6.34715322888804,1
Yoshitaka Takeuch,6.6,6.013876967095851,6.249216300940439,1
Yu Yang,7.5,6.395046439628484,6.815606737710554,1
Yuriy Bykov,8.0,6.55898105813194,7.670392662654056,1
Yüksel Aksu,7.4,6.050624479600333,7.136801362440007,1
May el-Toukhy,7.2,6.092897497982244,6.872703469343225,1
Matthew Hope,5.8,5.946581196581197,5.781893898243708,1
Matthew Heineman,6.7,6.4276132107592785,6.579256218304757,1
Safak Sezer,5.6,5.835208711433756,5.478247261345853,1
Sanping Han,2.9,4.8025839793281655,3.6986309184255557,1
Matt Angel,3.2,3.767205750224618,3.51147237642083,1
Mathias Malzieu,7.0,6.333106575963719,6.579743795036029,1
Sara Colangelo,6.7,6.4309115371678445,6.545559845559845,1
Mathew Cullen,4.3,5.28695652173913,4.709596255119953,1
Mateo Gil,6.5,6.333941467122767,6.371938530494637,1
Ágnes Hranitzky,7.8,7.202212389380531,7.487978373794127,1
Sang-soo Im,6.4,6.346560463432295,6.284944115713347,1
Massy Tadjedin,6.6,6.313013221990257,6.56842991440999,1
Masayuki,7.0,6.523076923076923,6.673798303487276,1
Masahiro Hosoda,7.2,6.9045197740113,6.880481750482669,1
Zübeyr Sasmaz,6.1,5.937530463038181,5.863174369361076,1
Álvaro Brechner,7.6,6.267069486404834,7.135332252836306,1
Mary Harron,4.9,5.5060778312199385,5.013472485768501,1
Mary Agnes Donoghue,5.5,5.658415841584159,5.454585152838428,1
Árpád Sopsits,7.0,6.011764705882353,6.680354069338579,1
Sankalp Reddy,7.6,6.513924761370017,6.965551839464883,1
Marvin Kren,6.3,6.1640396413402545,6.147133757961782,1
Martyn Pick,5.6,5.762467191601051,5.620964360587002,1
Éric Warin,6.8,6.373169151004537,6.587930068362659,1
Ömer Faruk Sorak,7.3,6.1917707567964735,7.0559631265604,1
Zülfü Livaneli,7.2,5.934982332155477,6.790470926376299,1
Matt Brown,7.2,6.92820405603178,7.043003704759191,1
Zaza Urushadze,8.2,7.227883167720567,7.971057862784075,1
Matt Shakman,6.1,6.106745414982903,5.951187764399609,1
Zeek Earl,6.2,6.311971168912567,6.059041572803604,1
Matthew Diamond,2.1,3.8020446980504046,4.393491124260356,1
Matthew Chapman,6.5,6.281376037959668,6.429002484913028,1
