director,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,movies
Drew T. Pierce,5.6,5.847528517110266,5.516988210075027,2
Guillaume Canet,6.8,6.355830389823543,6.72132440827256,2
Greg Tiernan,5.949999999999999,5.995770597191676,5.946352867375669,2
Richard Shepard,6.15,6.094934442880383,6.073037009771058,2
Rohit Dhawan,5.4,5.745640285036087,5.271549027447844,2
Franck Khalfoun,5.449999999999999,5.74902318336295,5.463372386089761,2
Eduardo Sánchez,5.25,5.707964960330061,5.179290515570459,2
Gabriele Muccino,6.4,6.095765527212171,6.294694971496639,2
Rodrigo Sorogoyen,7.15,6.103181509975921,6.865280841163514,2
Gregg Araki,6.050000000000001,6.02765524405264,6.025048121480003,2
François Simard,6.7,6.666856763851868,6.490493576516474,2
Gregg Bishop,4.75,5.153869979474701,4.884853125649334,2
Richard LaGravenese,6.0,6.142249236968649,5.807693341542535,2
Ed Gass-Donnelly,4.7,5.0760193740184985,4.78261140406965,2
Greg Mottola,6.45,6.434470295911453,6.343205955266891,2
Eliza Hittman,6.85,6.40211405286339,6.566604450468393,2
Gregory Plotkin,5.05,5.320904604041305,4.990326288883265,2
E.L. Katz,6.25,6.284951679705476,6.149934915390007,2
Sandeep Reddy Vanga,7.6,6.994709586906376,7.001188047811725,2
Eli Craig,6.6,6.77107597377555,6.4513486939945786,2
Richard Loncraine,6.45,6.115682554750336,6.260028656043129,2
Sang-ho Yeon,6.6,6.693291801832648,6.4597146694356535,2
Greg Berlanti,7.05,7.012229102619422,6.869232672383118,2
Gavin Wiesen,6.15,6.1393815035510535,6.048950452970021,2
Emilio Martínez Lázaro,5.95,6.02936400541272,5.905056993132378,2
Rupert Sanders,6.199999999999999,6.188323200601882,6.145464020557737,2
Robert Eggers,7.2,7.235282392122812,7.0737429528798925,2
Gauri Shinde,7.699999999999999,7.06158374625266,7.402286678894321,2
Rupert Goold,6.55,6.499151596473299,6.408666479268929,2
Evan Goldberg,6.55,6.782701716462034,6.34534510369541,2
Fernando Meirelles,6.9,6.582799826173568,6.805589148419736,2
Ruben Östlund,7.25,7.001693351709751,7.148345539343204,2
George Nolfi,7.15,6.81457316210288,6.987754399870993,2
George Miller,7.0,6.95335815557568,6.9416796353389625,2
Farah Khan,3.75,4.920571984749024,4.0154986585322785,2
Rob Minkoff,6.6,6.452166640992038,6.513007910982585,2
George Gallo,5.35,5.6978852083560545,5.405168332542733,2
Farhad Samji,4.2,5.280768313773821,4.613093156542683,2
Roxanne Benjamin,5.2,5.56390919770586,5.294069679924824,2
Farren Blackburn,4.65,5.222316977638513,4.793609552257071,2
Rowan Joffe,6.0,6.00664063995761,5.991949118428467,2
Martin Zandvliet,7.05,6.638909100397514,6.8716687487400545,2
Felix van Groeningen,7.55,7.06457561902533,7.3693179708023715,2
Fedor Bondarchuk,5.6,5.808663343698555,5.572105254672323,2
Felix Herngren,6.699999999999999,6.311776895873006,6.546406551493661,2
Gennaro Nunziante,6.449999999999999,5.8539681248983575,6.2848882897198814,2
Robert Budreau,6.5,6.235346983657742,6.263683022727525,2
Gaspar Noé,6.6,6.307304412309974,6.463540625836474,2
Rob Epstein,6.45,6.272232937251832,6.326085508439444,2
Roberts Gannaway,6.55,6.280178497301785,6.27274997393687,2
Ry Russo-Young,6.1,6.107713125845738,5.984217171717171,2
Gina Prince-Bythewood,6.800000000000001,6.735749357071695,6.509802168745594,2
Emilis Velyvis,7.1,5.9954722968025385,6.732944313582062,2
Richard Ayoade,6.9,6.791592971033338,6.867441639407271,2
