duration,weighted_average_vote,weighted_non_us_voters_rating,weighted_us_voters_rating
141,6.4,5.734278122232064,5.964763603925068
135,6.7,5.742961608775137,6.047491638795987
80,5.9,5.7,5.9
64,6.9,5.717224880382775,6.034280639431616
87,6.5,5.725117150890347,5.975068744271311
60,5.7,5.692122958693564,5.893236714975846
135,6.9,5.707692307692308,5.920849420849422
70,6.5,5.67906976744186,6.391935483870967
70,6.3,5.691772771792361,5.941340782122905
71,6.8,5.991466252909232,6.028160418483
80,6.4,5.93899018232819,5.944027303754267
69,6.1,5.71830985915493,5.920289855072464
87,7.7,6.724020285846012,6.929239230064162
95,7.8,6.782989454378725,6.911734455352969
70,6.8,5.741706161137441,6.035695764909248
53,7.2,6.12926992632284,6.292812281926029
135,7.2,6.073414112615823,6.12778730703259
150,7.2,6.351737039016568,6.369859514687102
115,6.9,5.781867145421904,6.071428571428572
153,5.7,5.620448179271709,5.9972972972972975
136,6.7,5.745283018867925,5.951743638077287
77,8.1,7.757534246575342,7.485294117647059
75,6.5,5.7867768595041325,6.174468085106383
85,7.2,6.157873485868102,6.243396226415095
93,7.1,6.3294991744634,6.203475742215785
106,5.7,5.6475485661424605,6.095313681027967
59,7.7,7.20638077480837,7.310056730273337
94,6.6,6.003183023872679,5.9827160493827165
129,7.9,7.186409341550437,6.8247311827956985
143,8.1,7.446583174516744,7.09405578417924
64,4.7,5.656310679611651,5.873036896877957
92,7.1,6.387947269303201,6.346704331450094
78,6.8,5.78268156424581,5.906013579049467
59,7.2,6.404665959703076,6.244193061840121
105,7.1,5.981547619047619,6.231297709923664
81,7.1,5.7750687442713105,6.151612903225806
102,6.3,5.7265151515151524,5.890839694656489
123,7.0,5.7772241992882565,6.1727858293075695
108,5.5,5.654956689124158,6.00068493150685
45,8.2,7.973404367549319,8.136259099061082
82,7.6,7.1821420716956235,6.880565234223771
155,7.7,7.10828402366864,7.186224125624554
82,6.3,5.74954128440367,5.927560521415271
88,6.8,5.823090586145648,6.066503667481663
72,5.9,5.659734093067426,5.982985821517932
74,5.8,5.660217176702862,5.895503421309873
151,7.9,7.102271368798567,7.476063528077141
102,6.2,5.753492193919474,6.00193740685544
71,7.0,5.710785241248818,5.996934865900383
75,8.0,7.81941391941392,7.816433566433567
71,6.3,5.80353982300885,5.8771010023130295
74,6.6,5.736619718309859,5.99266136162688
70,6.4,5.747048903878583,6.131009957325746
111,7.0,5.832697311361666,6.073483535528597
111,7.1,6.351737039016568,6.235580264072272
73,6.6,6.021244763614602,6.266824644549763
90,6.3,5.728252788104089,5.920388349514563
170,7.1,5.8889273356401395,6.023529411764707
77,7.5,6.717758369723435,7.107504937458855
125,7.2,6.323831775700935,6.172310007524455
45,5.8,5.705926622765757,5.905882352941176
115,6.6,5.884009546539379,5.935232668566003
69,7.2,6.5750656167979,6.5719806763285025
95,8.2,8.146275841320325,8.069968340117594
80,6.9,5.747727272727273,5.954135338345865
140,8.1,7.514050285231354,7.608436213991769
113,6.9,5.794063079777366,5.9990990990991
70,6.5,5.723352165725046,5.981630740393627
65,6.6,5.761230195712955,5.909900990099009
120,7.3,6.228332217012726,6.214229249011859
70,6.6,5.80353982300885,6.018029029793736
96,5.0,5.65267770204479,6.038934802571166
80,7.2,5.954331370899917,6.1300411522633755
70,6.0,5.638432122370936,6.291301000769823
94,6.7,5.753979238754326,6.259385009609225
81,7.1,5.9441421012849585,6.385288862418106
110,7.0,6.494320486815416,6.593457154917687
137,7.3,6.308059516429014,6.499545040946315
86,6.2,5.7707818930041155,6.027148703956344
70,6.4,5.742723004694835,5.919449901768173
74,7.1,5.910310142497904,5.959003831417625
70,6.2,5.729115128449096,5.917184643510056
78,6.7,5.729501915708813,5.960398860398861
93,7.6,7.14706144918911,7.521570926143025
73,6.0,5.722479185938946,5.919657348963031
75,6.0,5.864007252946509,5.9
108,7.0,5.79502262443439,5.973282442748092
97,6.8,5.7627906976744185,5.93046875
74,3.7,5.669590643274853,5.692664809656454
68,7.1,5.731274131274132,6.101663893510815
77,6.6,5.765192850423331,5.980519480519481
56,6.4,5.705123339658444,5.970037453183521
107,6.8,5.766855524079321,5.920613614573347
104,6.6,5.814481576692374,6.033333333333333
58,3.8,5.683090379008747,5.686405959031658
70,6.7,5.8366412213740455,5.95245143385754
56,7.9,7.462711190618168,7.427792915531335
98,6.1,5.714828897338403,5.9192307692307695
88,4.1,5.648031496062993,5.924770642201835
80,6.4,5.800087489063867,5.895694716242661
70,6.5,5.743150684931507,6.290780141843972
110,7.2,5.802719854941071,6.033879781420765
78,6.5,5.783680266444629,6.063502454991816
86,7.2,6.177733860342556,6.498626216370922
110,6.8,5.74953095684803,6.003742384682332
104,7.4,6.290339425587469,6.238170347003155
114,7.7,6.131372549019608,6.22012987012987
80,6.7,5.781726354453627,5.935679845708775
81,5.1,5.594985250737463,5.493471810089021
68,5.8,5.692081031307551,5.908256880733946
70,6.9,5.754372623574145,5.946153846153846
65,6.8,5.7919667590027695,5.902780536246277
80,5.4,5.60132325141777,6.1741307371349095
110,6.6,5.769741697416975,5.906686332350049
90,7.0,5.877108433734939,6.412121212121212
86,6.5,5.834114793856104,6.080575539568346
77,7.0,6.42630185348632,6.47536231884058
101,7.0,5.7772241992882565,6.073740053050399
68,6.5,5.761400359066428,5.977351916376306
95,6.3,5.721951219512195,5.9239436619718315
70,5.9,5.643570057581575,6.111926605504587
88,7.1,6.178412507516537,6.388007495315428
86,6.8,5.886991869918699,6.0913385826771655
58,5.5,5.67878787878788,5.9
95,7.3,6.069072164948453,6.528224917309814
64,5.0,5.66101083032491,5.6950366151342555
85,6.2,5.7,6.231578947368421
104,6.6,5.763351749539595,5.910891089108911
66,6.6,5.741221374045803,5.939543726235742
110,7.0,5.870945945945946,6.215044247787611
75,6.7,5.802899751449877,6.3011435832274465
75,4.6,5.659099804305283,5.942961608775137
77,6.9,5.7919667590027695,6.078981937602628
107,8.1,7.788917692806222,7.619335809482194
70,6.4,5.7705035971223015,5.938820171265461
70,5.8,5.6281690140845075,6.150417469492615
112,7.6,6.756812551610239,7.030357142857143
58,7.5,6.251233396584441,6.4808426596445035
97,6.9,6.0156963890935895,6.018071242397915
53,6.3,5.708592321755027,5.967088607594937
60,6.6,5.769406392694063,5.95245143385754
100,6.7,5.938235294117647,5.998625429553265
48,6.0,5.708978032473735,5.904489016236868
70,6.4,5.725022914757104,5.990909090909091
77,6.9,5.723355576739752,5.9666034155597725
108,6.7,5.720410065237652,6.124806201550388
70,7.4,6.6833052276559854,6.505011933174224
68,7.3,7.0262149212867895,6.823406720741599
76,6.3,5.726517273576098,5.957208448117539
95,6.7,5.817637271214642,6.031690140845072
83,6.7,5.8277310924369745,6.071255060728745
86,6.8,5.77536231884058,6.038992042440319
102,6.8,5.75512104283054,6.025473321858865
89,7.5,6.822903885480573,6.345147679324894
153,8.3,8.164467437960147,8.22620606955078
250,6.8,5.789189189189189,5.984782608695653
59,5.7,5.697181729834791,5.896246390760346
62,7.0,5.78268156424581,5.910266535044423
150,6.8,6.005202312138729,6.004952215464813
80,5.2,5.6526570048309175,6.017988064791134
111,6.7,5.74314096499527,5.964705882352941
80,7.7,6.4012987012987015,6.141558441558442
66,7.1,5.804109589041095,5.912512413108242
70,6.6,5.740298507462687,5.97685009487666
105,6.0,5.720149253731344,5.905555555555556
115,7.7,6.360759493670887,6.563636363636364
136,6.5,5.749338374291115,5.9134670487106025
66,5.8,5.705033238366571,5.9039385206532184
84,6.7,5.843061396131203,5.927799227799229
82,6.8,5.766293183940244,5.9884580703336345
80,7.0,5.859236773633999,6.045454545454546
67,6.2,5.694428706326724,5.9645463049579055
68,6.6,5.9955863808322825,6.265453557848995
90,6.2,5.706542056074766,5.97073837739289
109,7.3,6.0869753979739505,6.415989159891599
75,6.7,5.90828402366864,6.090938511326861
110,6.9,6.007633587786261,6.0158267020336
74,7.1,6.443339587242026,6.181547619047619
62,6.9,5.9863905325443785,6.252209381373215
92,7.5,6.242750170183799,6.334294385432474
88,6.9,5.815692821368949,6.190219863532979
62,6.1,5.812195121951219,5.841157556270097
120,6.6,5.743339587242026,5.932882011605416
95,6.4,5.829080118694361,6.1653683716565
116,6.8,5.75897204688909,6.096434634974534
89,7.0,5.890909090909091,6.212426035502959
60,7.5,5.780575539568345,6.243055555555556
108,6.2,5.774105621805792,5.8949667616334285
90,5.9,5.647867298578199,6.000319744204637
67,7.1,5.893379790940767,5.9190661478599225
67,7.0,5.794063079777366,5.954135338345865
99,6.9,5.830543933054393,6.194729136163983
91,6.4,5.751233396584441,5.911764705882353
87,6.8,5.7375,6.006759098786829
132,6.8,5.776672694394214,5.9310009718173
108,7.1,6.354518371400199,6.556435643564356
118,7.1,5.8289198606271775,6.121739130434783
70,6.6,5.763351749539595,5.968033550792172
66,7.1,6.47325746799431,6.638687392055267
60,7.2,6.056002982848621,6.0323843416370115
80,6.1,5.970009199632015,5.987685774946922
62,4.8,5.606805293005672,5.88896797153025
80,5.7,5.7,5.769683257918552
71,5.6,5.5987012987012985,6.063526244952894
75,6.4,5.717986314760509,5.958693733451015
115,6.9,5.752554744525548,6.057117278424352
67,8.1,8.030957107102788,8.170017331022532
63,6.7,5.761284230406044,5.93502824858757
45,7.0,6.078667611622962,6.055405405405406
95,7.4,6.296103896103896,6.125503355704699
120,7.1,5.826654740608229,6.019888991674376
85,6.6,5.7786293958521195,5.9452991452991455
64,6.4,5.721928166351607,5.955813953488372
72,7.3,6.37159209157128,6.73920704845815
88,6.5,6.236486802149031,6.441341795104261
135,6.8,5.81738746690203,5.9878591288229845
82,7.6,6.8050193050193055,6.987687045746045
160,7.2,6.138578680203046,6.566203446359088
85,7.3,6.402132435465768,6.278102189781022
104,7.3,6.062774829416225,6.132360300250209
69,6.8,5.88301329394387,6.253169469598965
60,6.3,5.794097807757167,5.977351916376306
82,6.9,5.886846275752774,6.252542372881356
78,6.1,5.688888888888888,6.218979987088444
70,5.9,5.6563273073263565,6.217966903073286
75,6.7,5.774047186932849,6.0610837438423655
91,6.4,5.725274725274725,6.02034927866363
80,7.4,5.9344262295081975,6.3745213549337265
240,8.1,7.42998760842627,7.487484510532837
142,7.5,7.124530663329161,6.671915657245402
88,6.4,5.722445081184337,5.996221662468514
70,6.8,5.746919431279621,5.9423076923076925
76,6.3,5.730740037950664,5.928751210067764
150,5.8,5.669685767097967,6.02178517397882
56,6.3,5.744570349386214,5.8859375
115,6.4,5.689365504915102,6.121857923497268
74,6.6,5.71617770326907,6.326813880126183
116,6.2,6.004228660924041,6.034437086092716
68,7.0,5.779245283018867,5.988040478380865
68,6.2,5.7156398104265405,5.980184718723762
110,7.6,6.8323232323232315,6.7164241164241165
70,5.6,5.6859866539561486,5.9
80,7.1,5.922056384742953,5.967924528301887
76,6.9,5.858647936786655,6.104455051710422
80,4.0,5.578260869565217,5.814745884037222
78,6.0,5.672975432211101,5.939430648092065
106,7.6,6.234177215189874,6.550574712643678
50,6.3,5.725117150890347,5.910880316518299
94,8.1,7.9845709888418614,7.995337248620751
57,5.5,5.6730368968779565,5.90412272291467
103,6.9,5.77558799675588,6.540770791075051
60,6.1,5.714643545279383,5.916858237547893
70,5.8,5.621668264621285,6.08977879481312
86,7.4,6.350574712643678,6.1300411522633755
85,5.2,5.666417910447762,5.577385159010601
92,6.7,5.844262295081968,6.179310344827587
108,6.8,5.999229152067274,6.051823579304496
144,6.7,5.739170506912442,6.065971643035864
80,7.6,6.674311926605505,6.716930638995086
63,7.8,7.186389316897792,7.253551912568307
60,6.2,5.7471014492753625,5.9396396396396405
111,6.8,5.732061068702291,6.049659863945578
144,7.5,7.052848682867062,7.36209874225643
68,3.1,5.688177339901478,5.702621722846442
76,6.7,5.837620297462817,5.915068493150685
49,6.3,5.725166191832858,5.9140913508260455
107,7.0,5.912133891213389,5.932882011605416
85,6.0,5.730220713073005,5.861349693251534
88,6.5,5.769964664310955,5.988054607508533
100,7.5,6.181118881118881,6.355133079847908
70,4.9,5.6465230166503435,5.945867393278838
109,7.9,7.40762331838565,7.447077409162717
76,8.1,7.595924104005622,7.626004492138756
50,6.2,5.6795332136445245,6.077835051546392
86,5.6,5.598814229249012,5.800803212851406
63,7.3,6.745599445599446,6.516087212728344
72,8.1,7.939711480665197,7.735821883794074
92,6.5,5.6917431192660555,6.248633879781421
87,6.8,5.784249084249084,5.936637512147717
