actors,weighted_average_vote,weighted_us_voters_rating,weighted_non_us_voters_rating,year,movies
Eddie Davenport,7.2,6.617301658449126,6.580509841884479,2015.0,1
Ed Amatrudo,5.8,5.773855243722305,5.614378145219266,2016.0,1
Ece Incebay,3.7,5.386792452830189,3.964480296217932,2014.0,1
Ebru Aykaç,7.2,6.06247906197655,6.819775820656525,2014.0,1
Eboseta Ayemere,5.8,5.946581196581197,5.781893898243708,2011.0,1
Ebony Obsidian,7.1,7.299121155053358,6.9248641775517275,2018.0,1
Ebony Joy,5.7,5.751733057423694,5.7,2015.0,1
Ebony Jo-Ann,5.9,5.705397819281011,5.898081129830756,2010.0,1
Ebony Billups,7.5,7.497305787120937,7.353835709436525,2014.0,1
Ebizô Ichikawa,6.8,6.622102747909199,6.5828491096532336,2017.0,1
Eben Kostbar,5.3,5.779333597778659,5.241643059490085,2013.0,1
Ebe Meynckens,5.9,5.973337555414821,5.77582789460962,2014.0,1
Eason Hung,4.6,5.105836575875487,4.761622098148692,2014.0,1
Eddie Cheung,7.0,6.665020576131688,6.795340050377833,2012.0,1
Eddie Deezen,6.0,6.072565157750343,5.889403973509934,2015.0,1
Eden Malyn,5.4,5.795057034220533,5.333976420150054,2011.0,1
Eddie Ritchard,5.6,5.6266382525306335,5.508200418221329,2010.0,1
Eden Knowles,7.1,7.261739225492607,6.989464300186401,2012.0,1
Eden Gmliel,7.3,6.436335595311537,6.932606199770379,2017.0,1
Eden Gamliel,7.3,6.436335595311537,6.932606199770379,2017.0,1
Eden Daniel,7.3,6.436335595311537,6.932606199770379,2017.0,1
Eden Brolin,5.9,6.002391410444119,5.7,2020.0,1
Eden Bodnar,6.2,6.177750611246943,6.127060539752006,2010.0,1
Edelen McWilliams,6.3,6.242816724300535,6.293923321715412,2016.0,1
Edeen Bhugeloo,5.4,5.323762376237624,5.327216438728992,2019.0,1
Eddy Mitchell,6.9,6.620388349514563,6.65719849409321,2012.0,1
Eddy Kimani,7.6,7.201500234411626,7.528122872058713,2010.0,1
Eddy Glenn Patterson,5.6,5.725628140703518,5.534013605442177,2014.0,1
Eddie Rouse,6.4,6.267479459316194,6.3320981666505,2012.0,1
Eddie Perino,6.4,6.23454665784249,6.240517497769406,2014.0,1
Eddie Ebell,6.7,6.545977984758679,6.419349658771577,2012.0,1
Eddie Pepitone,5.6,5.843591979075851,5.550761421319796,2014.0,1
Eddie Peng,5.9,5.807912644405761,5.896440647802101,2016.0,1
Eddie Medrano,5.8,5.99468254812294,5.7,2011.0,1
Eddie Max Huband,5.9,5.994912494912495,5.798356506590409,2013.0,1
Eddie Martinez,6.6,6.420733249051834,6.34715322888804,2012.0,1
Eddie King,7.0,6.903052683407188,6.83176002274666,2018.0,1
Eddie Kaye Thomas,6.7,6.572058119112247,6.690604241245501,2012.0,1
Eddie J. Fernandez Jr.,6.4,6.3109640831758025,6.233318515225606,2017.0,1
Eddie Holland,5.8,5.9,5.7,2017.0,1
Eddie Geller,6.0,6.226308032424466,5.7863331966653,2012.0,1
